Date,TotalInvested,TotalValue,CurrentReturn,OneDayChange,OneDayChangePct,Indicator
15-04-2026,4645500.0,6839055.46,2193555.46,0.0,0.00%,🟢 ↑
17-04-2026,4645500.0,6998852.3,2353352.3,159796.84,7.28%,🟢 ↑
20-04-2026,4645500.0,6998481.19,2352981.19,-371.11,-0.01%,🔴 ↓
21-04-2026,4645500.0,7032216.98,2386716.98,33735.79,0.48%,🟢 ↑
22-04-2026,4645500.0,7031167.84,2385667.84,-1049.14,-0.01%,🔴 ↓
23-04-2026,4645500.0,7009915.89,2364415.89,-21251.95,-0.30%,🔴 ↓
24-04-2026,4645500.0,7005165.26,2359665.26,-4750.63,-0.07%,🔴 ↓
27-04-2026,4645500.0,7043698.98,2398198.98,38533.72,0.55%,🟢 ↑
28-04-2026,4645500.0,7066824.46,2421324.46,23125.48,0.33%,🟢 ↑
29-04-2026,4645500.0,7086204.55,2440704.55,19380.09,0.27%,🟢 ↑
30-04-2026,4645500.0,7040713.32,2395213.32,-45491.23,-0.64%,🔴 ↓
04-05-2026,4645500.0,7080282.19,2434782.19,39568.87,0.56%,🟢 ↑
05-05-2026,4647500.0,7091505.06,2444005.06,11222.87,0.16%,🟢 ↑
06-05-2026,4649500.0,7184822.78,2535322.78,93317.72,1.32%,🟢 ↑
07-05-2026,4649500.0,7243183.21,2593683.21,58360.43,0.81%,🟢 ↑
08-05-2026,4649500.0,7241290.93,2591790.93,-1892.28,-0.03%,🔴 ↓
11-05-2026,4659500.0,7169677.02,2510177.02,-71613.91,-0.99%,🔴 ↓
12-05-2026,4729500.0,7148030.19,2418530.19,-21646.83,-0.30%,🔴 ↓
13-05-2026,4819500.0,7274675.51,2455175.51,126645.32,1.77%,🟢 ↑
14-05-2026,4819500.0,7320431.23,2500931.23,45755.72,0.63%,🟢 ↑
15-05-2026,4829500.0,7332759.83,2503259.83,12328.6,0.17%,🟢 ↑
