date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,111000.0,171850.57,1448.99,60850.57,54.82%,15.18%,118.6
16-04-2026,111000.0,173227.11,1448.99,62227.11,56.06%,15.46%,119.55
17-04-2026,111000.0,175299.17,1448.99,64299.17,57.93%,15.87%,120.98
20-04-2026,111000.0,174980.39,1448.99,63980.39,57.64%,15.78%,120.76
21-04-2026,111000.0,176588.78,1448.99,65588.78,59.09%,16.10%,121.87
22-04-2026,111000.0,177762.46,1448.99,66762.46,60.15%,16.33%,122.68
23-04-2026,111000.0,176936.54,1448.99,65936.54,59.40%,16.14%,122.11
24-04-2026,111000.0,175270.19,1448.99,64270.19,57.90%,15.78%,120.96
27-04-2026,111000.0,178313.08,1448.99,67313.08,60.64%,16.37%,123.06
28-04-2026,111000.0,177747.97,1448.99,66747.97,60.13%,16.24%,122.67
29-04-2026,111000.0,178747.78,1448.99,67747.78,61.03%,16.43%,123.36
30-04-2026,111000.0,177936.34,1448.99,66936.34,60.30%,16.24%,122.8
04-05-2026,111000.0,179820.03,1448.99,68820.03,62.00%,16.57%,124.1
05-05-2026,111000.0,180486.57,1448.99,69486.57,62.60%,16.69%,124.56
06-05-2026,111000.0,182775.98,1448.99,71775.98,64.66%,17.14%,126.14
07-05-2026,111000.0,184500.28,1448.99,73500.28,66.22%,17.47%,127.33
08-05-2026,111000.0,184456.81,1448.99,73456.81,66.18%,17.44%,127.3
11-05-2026,111000.0,183457.0,1448.99,72457.0,65.28%,17.19%,126.61
12-05-2026,111000.0,178892.68,1448.99,67892.68,61.16%,16.26%,123.46
13-05-2026,111000.0,179167.98,1448.99,68167.98,61.41%,16.30%,123.65
14-05-2026,111000.0,179660.64,1448.99,68660.64,61.86%,16.38%,123.99
15-05-2026,111000.0,179501.25,1448.99,68501.25,61.71%,16.34%,123.88
18-05-2026,111000.0,177139.39,1448.99,66139.39,59.59%,15.81%,122.25
19-05-2026,111000.0,178486.96,1448.99,67486.96,60.80%,16.07%,123.18
20-05-2026,111000.0,179110.02,1448.99,68110.02,61.36%,16.18%,123.61
21-05-2026,111000.0,180022.89,1448.99,69022.89,62.18%,16.35%,124.24
22-05-2026,111000.0,179877.99,1448.99,68877.99,62.05%,16.31%,124.14
