date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,200000.0,201303.62,3996.42,1303.62,0.65%,3.13%,50.371
16-04-2026,200000.0,203110.0,3996.42,3110.0,1.56%,7.47%,50.823
17-04-2026,200000.0,205156.17,3996.42,5156.17,2.58%,12.25%,51.34
20-04-2026,200000.0,204584.68,3996.42,4584.68,2.29%,10.57%,51.19
21-04-2026,200000.0,206439.02,3996.42,6439.02,3.22%,14.85%,51.66
22-04-2026,200000.0,208037.59,3996.42,8037.59,4.02%,18.52%,52.06
23-04-2026,200000.0,207945.67,3996.42,7945.67,3.97%,18.06%,52.03
24-04-2026,200000.0,206211.22,3996.42,6211.22,3.11%,13.78%,51.6
27-04-2026,200000.0,209851.96,3996.42,9851.96,4.93%,21.59%,52.51
28-04-2026,200000.0,209839.97,3996.42,9839.97,4.92%,21.30%,52.51
29-04-2026,200000.0,209812.0,3996.42,9812.0,4.91%,20.99%,52.5
30-04-2026,200000.0,208457.21,3996.42,8457.21,4.23%,17.73%,52.16
04-05-2026,200000.0,210795.12,3996.42,10795.12,5.40%,21.92%,52.75
05-05-2026,200000.0,210919.01,3996.42,10919.01,5.46%,21.94%,52.78
06-05-2026,201000.0,214986.71,4015.37,13986.71,6.96%,28.29%,53.54
07-05-2026,201000.0,217508.36,4015.37,16508.36,8.21%,33.48%,54.17
08-05-2026,201000.0,217171.07,4015.37,16171.07,8.05%,32.37%,54.09
11-05-2026,201000.0,214573.13,4015.37,13573.13,6.75%,25.92%,53.44
12-05-2026,201000.0,209598.09,4015.37,8598.09,4.28%,15.82%,52.2
13-05-2026,221000.0,230076.53,4398.5,9076.53,4.11%,16.56%,52.31
14-05-2026,241000.0,250950.44,4780.83,9950.44,4.13%,18.02%,52.49
15-05-2026,241000.0,250022.96,4780.83,9022.96,3.74%,16.07%,52.3
18-05-2026,241000.0,247613.42,4780.83,6613.42,2.74%,11.24%,51.79
19-05-2026,241000.0,250147.26,4780.83,9147.26,3.80%,15.56%,52.32
20-05-2026,241000.0,250783.11,4780.83,9783.11,4.06%,16.51%,52.46
21-05-2026,241000.0,251901.83,4780.83,10901.83,4.52%,18.29%,52.69
22-05-2026,241000.0,251581.51,4780.83,10581.51,4.39%,17.53%,52.62
25-05-2026,241000.0,254210.97,4780.83,13210.97,5.48%,21.43%,53.17
26-05-2026,241000.0,254932.87,4780.83,13932.87,5.78%,22.43%,53.32
27-05-2026,241000.0,254564.75,4780.83,13564.75,5.63%,21.57%,53.25
29-05-2026,241000.0,252724.13,4780.83,11724.13,4.86%,18.12%,52.86
31-05-2026,241000.0,252724.13,4780.83,11724.13,4.86%,17.93%,52.86
01-06-2026,241000.0,250663.59,4780.83,9663.59,4.01%,14.36%,52.43
02-06-2026,241000.0,251873.14,4780.83,10873.14,4.51%,16.08%,52.68
03-06-2026,278500.0,288997.8,5492.58,10497.8,3.77%,15.33%,52.62
04-06-2026,278500.0,290250.11,5492.58,11750.11,4.22%,17.05%,52.84
05-06-2026,278500.0,289997.45,5492.58,11497.45,4.13%,16.48%,52.8
08-06-2026,278500.0,285295.8,5492.58,6795.8,2.44%,9.26%,51.94
09-06-2026,278500.0,289547.06,5492.58,11047.06,3.97%,15.14%,52.72
10-06-2026,278500.0,285850.55,5492.58,7350.55,2.64%,9.83%,52.04
11-06-2026,278500.0,283571.13,5492.58,5071.13,1.82%,6.66%,51.63
12-06-2026,278500.0,290475.3,5492.58,11975.3,4.30%,15.96%,52.88
15-06-2026,278500.0,294572.77,5492.58,16072.77,5.77%,21.08%,53.63
16-06-2026,278500.0,296473.21,5492.58,17973.21,6.45%,23.49%,53.98
17-06-2026,278500.0,297500.32,5492.58,19000.32,6.82%,24.66%,54.16
18-06-2026,278500.0,298791.08,5492.58,20291.08,7.29%,26.19%,54.4
19-06-2026,278500.0,299043.74,5492.58,20543.74,7.38%,26.27%,54.45
22-06-2026,278500.0,301328.65,5492.58,22828.65,8.20%,28.55%,54.86
23-06-2026,278500.0,299351.32,5492.58,20851.32,7.49%,25.67%,54.5
