date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
12-05-2026,20000.0,19999.01,457.43,-0.99,-0.00%,inf%,43.72
13-05-2026,20000.0,20049.33,457.43,49.33,0.25%,-inf%,43.83
14-05-2026,20000.0,20253.35,457.43,253.35,1.27%,9794.44%,44.28
15-05-2026,20000.0,20181.07,457.43,181.07,0.91%,418.03%,44.12
18-05-2026,20000.0,20099.19,457.43,99.19,0.50%,43.50%,43.94
19-05-2026,20000.0,20138.99,457.43,138.99,0.69%,52.39%,44.03
20-05-2026,20000.0,20184.73,457.43,184.73,0.92%,61.51%,44.13
21-05-2026,20000.0,20160.03,457.43,160.03,0.80%,43.85%,44.07
22-05-2026,20000.0,20204.86,457.43,204.86,1.02%,51.18%,44.17
25-05-2026,20000.0,20458.28,457.43,458.28,2.29%,99.19%,44.72
26-05-2026,20000.0,20410.71,457.43,410.71,2.05%,76.96%,44.62
27-05-2026,20000.0,20429.46,457.43,429.46,2.15%,74.00%,44.66
29-05-2026,20000.0,20146.77,457.43,146.77,0.73%,18.15%,44.04
01-06-2026,20000.0,19928.11,457.43,-71.89,-0.36%,-6.68%,43.56
02-06-2026,50000.0,50041.23,1146.03,41.23,0.08%,3.56%,43.66
03-06-2026,50500.0,50387.25,1157.48,-112.75,-0.22%,-8.23%,43.53
04-06-2026,50500.0,50452.06,1157.48,-47.94,-0.09%,-3.24%,43.59
05-06-2026,50500.0,50393.03,1157.48,-106.97,-0.21%,-6.50%,43.54
08-06-2026,50500.0,49871.01,1157.48,-628.99,-1.25%,-27.09%,43.09
09-06-2026,50500.0,50294.65,1157.48,-205.35,-0.41%,-9.15%,43.45
