date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,650000.0,734926.96,40824.97,84926.96,13.07%,6.15%,18.0019
16-04-2026,650000.0,734641.18,40824.97,84641.18,13.02%,6.13%,17.9949
17-04-2026,650000.0,743340.98,40824.97,93340.98,14.36%,6.72%,18.21
20-04-2026,650000.0,742940.9,40824.97,92940.9,14.30%,6.67%,18.2
21-04-2026,650000.0,746843.76,40824.97,96843.76,14.90%,6.93%,18.29
22-04-2026,650000.0,746496.75,40824.97,96496.75,14.85%,6.90%,18.29
23-04-2026,650000.0,743324.65,40824.97,93324.65,14.36%,6.67%,18.21
24-04-2026,650000.0,737196.82,40824.97,87196.82,13.41%,6.24%,18.06
27-04-2026,650000.0,743185.85,40824.97,93185.85,14.34%,6.62%,18.2
28-04-2026,650000.0,743369.56,40824.97,93369.56,14.36%,6.63%,18.21
29-04-2026,650000.0,742222.38,40824.97,92222.38,14.19%,6.54%,18.18
30-04-2026,650000.0,735122.92,40824.97,85122.92,13.10%,6.04%,18.01
04-05-2026,650000.0,739629.99,40824.97,89629.99,13.79%,6.32%,18.12
05-05-2026,650000.0,742438.75,40824.97,92438.75,14.22%,6.50%,18.19
06-05-2026,650000.0,757866.5,40824.97,107866.5,16.59%,7.53%,18.56
07-05-2026,650000.0,768599.39,40824.97,118599.39,18.25%,8.24%,18.83
08-05-2026,650000.0,766758.18,40824.97,116758.18,17.96%,8.11%,18.78
11-05-2026,650000.0,756621.34,40824.97,106621.34,16.40%,7.40%,18.53
12-05-2026,650000.0,736955.96,40824.97,86955.96,13.38%,6.07%,18.05
13-05-2026,650000.0,739813.7,40824.97,89813.7,13.82%,6.26%,18.12
14-05-2026,650000.0,749268.77,40824.97,99268.77,15.27%,6.88%,18.35
15-05-2026,650000.0,745116.87,40824.97,95116.87,14.63%,6.60%,18.25
18-05-2026,650000.0,742908.24,40824.97,92908.24,14.29%,6.42%,18.2
19-05-2026,650000.0,746949.91,40824.97,96949.91,14.92%,6.68%,18.3
20-05-2026,650000.0,752628.66,40824.97,102628.66,15.79%,7.05%,18.44
21-05-2026,650000.0,752008.12,40824.97,102008.12,15.69%,7.00%,18.42
22-05-2026,650000.0,753833.0,40824.97,103833.0,15.97%,7.11%,18.46
25-05-2026,650000.0,762867.56,40824.97,112867.56,17.36%,7.67%,18.69
26-05-2026,650000.0,766305.02,40824.97,116305.02,17.89%,7.89%,18.77
27-05-2026,650000.0,771477.55,40824.97,121477.55,18.69%,8.21%,18.9
29-05-2026,650000.0,762720.59,40824.97,112720.59,17.34%,7.62%,18.68
01-06-2026,650000.0,749211.61,40824.97,99211.61,15.26%,6.72%,18.35
02-06-2026,650000.0,748088.92,40824.97,98088.92,15.09%,6.64%,18.32
03-06-2026,650000.0,746892.75,40824.97,96892.75,14.91%,6.55%,18.3
04-06-2026,650000.0,750215.91,40824.97,100215.91,15.42%,6.76%,18.38
05-06-2026,650000.0,748823.77,40824.97,98823.77,15.20%,6.66%,18.34
08-06-2026,650000.0,734943.29,40824.97,84943.29,13.07%,5.73%,18.0
09-06-2026,650000.0,746366.11,40824.97,96366.11,14.83%,6.47%,18.28
10-06-2026,650000.0,736559.95,40824.97,86559.95,13.32%,5.82%,18.04
11-06-2026,650000.0,729129.81,40824.97,79129.81,12.17%,5.33%,17.86
12-06-2026,650000.0,752824.62,40824.97,102824.62,15.82%,6.86%,18.44
