date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,261500.0,324377.31,8959.73,62877.31,24.04%,13.97%,36.2039
16-04-2026,261500.0,324402.4,8959.73,62902.4,24.05%,13.95%,36.2067
17-04-2026,261500.0,327723.77,8959.73,66223.77,25.32%,14.60%,36.58
20-04-2026,261500.0,327483.65,8959.73,65983.65,25.23%,14.50%,36.55
21-04-2026,261500.0,328787.29,8959.73,67287.29,25.73%,14.74%,36.7
22-04-2026,261500.0,329308.75,8959.73,67808.75,25.93%,14.83%,36.75
23-04-2026,261500.0,328861.66,8959.73,67361.66,25.76%,14.71%,36.7
24-04-2026,261500.0,327265.93,8959.73,65765.93,25.15%,14.35%,36.53
27-04-2026,261500.0,329328.46,8959.73,67828.46,25.94%,14.70%,36.76
28-04-2026,261500.0,329040.86,8959.73,67540.86,25.83%,14.62%,36.72
29-04-2026,261500.0,330789.8,8959.73,69289.8,26.50%,14.95%,36.92
30-04-2026,261500.0,325896.88,8959.73,64396.88,24.63%,13.93%,36.37
04-05-2026,261500.0,326595.74,8959.73,65095.74,24.89%,13.97%,36.45
05-05-2026,261500.0,325368.26,8959.73,63868.26,24.42%,13.70%,36.31
