date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,360000.0,906948.64,10720.94,546948.64,151.93%,14.03%,84.596
16-04-2026,360000.0,908449.57,10720.94,548449.57,152.35%,14.06%,84.736
17-04-2026,360000.0,915407.46,10720.94,555407.46,154.28%,14.17%,85.39
20-04-2026,360000.0,915064.39,10720.94,555064.39,154.18%,14.15%,85.35
21-04-2026,360000.0,921807.86,10720.94,561807.86,156.06%,14.26%,85.98
22-04-2026,360000.0,917583.81,10720.94,557583.81,154.88%,14.18%,85.59
23-04-2026,360000.0,911408.55,10720.94,551408.55,153.17%,14.07%,85.01
24-04-2026,360000.0,901309.43,10720.94,541309.43,150.36%,13.88%,84.07
27-04-2026,360000.0,906605.57,10720.94,546605.57,151.83%,13.96%,84.56
28-04-2026,360000.0,900794.82,10720.94,540794.82,150.22%,13.85%,84.02
29-04-2026,360000.0,902059.89,10720.94,542059.89,150.57%,13.87%,84.14
30-04-2026,360000.0,893976.3,10720.94,533976.3,148.33%,13.72%,83.39
04-05-2026,360000.0,899829.94,10720.94,539829.94,149.95%,13.80%,83.93
05-05-2026,360000.0,897503.49,10720.94,537503.49,149.31%,13.75%,83.72
06-05-2026,360000.0,911622.97,10720.94,551622.97,153.23%,14.00%,85.03
07-05-2026,360000.0,915482.51,10720.94,555482.51,154.30%,14.06%,85.39
08-05-2026,360000.0,909800.41,10720.94,549800.41,152.72%,13.95%,84.86
11-05-2026,360000.0,895370.03,10720.94,535370.03,148.71%,13.68%,83.52
12-05-2026,360000.0,876737.03,10720.94,516737.03,143.54%,13.34%,81.78
13-05-2026,360000.0,880199.89,10720.94,520199.89,144.50%,13.39%,82.1
14-05-2026,360000.0,891435.44,10720.94,531435.44,147.62%,13.59%,83.15
15-05-2026,360000.0,886889.76,10720.94,526889.76,146.36%,13.50%,82.72
18-05-2026,360000.0,885110.09,10720.94,525110.09,145.86%,13.46%,82.56
19-05-2026,360000.0,885967.76,10720.94,525967.76,146.10%,13.47%,82.64
20-05-2026,360000.0,885999.92,10720.94,525999.92,146.11%,13.46%,82.64
21-05-2026,360000.0,887768.88,10720.94,527768.88,146.60%,13.49%,82.81
22-05-2026,360000.0,890835.07,10720.94,530835.07,147.45%,13.54%,83.09
