date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,210000.0,203845.58,2040.82,-6154.42,-2.93%,-9.69%,99.8843
16-04-2026,210000.0,203931.29,2040.82,-6068.71,-2.89%,-9.48%,99.9263
17-04-2026,210000.0,205694.56,2040.82,-4305.44,-2.05%,-6.66%,100.79
20-04-2026,210000.0,206033.95,2040.82,-3966.05,-1.89%,-6.04%,100.96
21-04-2026,210000.0,208090.88,2040.82,-1909.12,-0.91%,-2.91%,101.96
22-04-2026,210000.0,207306.8,2040.82,-2693.2,-1.28%,-4.06%,101.58
23-04-2026,210000.0,205717.62,2040.82,-4282.38,-2.04%,-6.35%,100.8
24-04-2026,210000.0,203591.9,2040.82,-6408.1,-3.05%,-9.33%,99.76
27-04-2026,210000.0,205325.17,2040.82,-4674.83,-2.23%,-6.69%,100.61
28-04-2026,210000.0,204037.21,2040.82,-5962.79,-2.84%,-8.42%,99.98
29-04-2026,210000.0,204883.33,2040.82,-5116.67,-2.44%,-7.19%,100.39
30-04-2026,210000.0,203163.74,2040.82,-6836.26,-3.26%,-9.46%,99.55
04-05-2026,210000.0,204271.9,2040.82,-5728.1,-2.73%,-7.72%,100.09
05-05-2026,210000.0,203892.31,2040.82,-6107.69,-2.91%,-8.16%,99.91
06-05-2026,210000.0,206474.56,2040.82,-3525.44,-1.68%,-4.72%,101.17
07-05-2026,210000.0,206717.82,2040.82,-3282.18,-1.56%,-4.37%,101.29
08-05-2026,210000.0,205098.23,2040.82,-4901.77,-2.33%,-6.43%,100.5
11-05-2026,210000.0,202450.47,2040.82,-7549.53,-3.60%,-9.59%,99.2
12-05-2026,210000.0,198335.98,2040.82,-11664.02,-5.55%,-14.49%,97.18
13-05-2026,210000.0,198304.15,2040.82,-11695.85,-5.57%,-14.43%,97.17
14-05-2026,210000.0,200123.74,2040.82,-9876.26,-4.70%,-12.18%,98.06
15-05-2026,210000.0,200012.11,2040.82,-9987.89,-4.76%,-12.23%,98.01
18-05-2026,210000.0,199871.9,2040.82,-10128.1,-4.82%,-12.14%,97.94
19-05-2026,210000.0,200263.13,2040.82,-9736.87,-4.64%,-11.61%,98.13
20-05-2026,210000.0,200802.72,2040.82,-9197.28,-4.38%,-10.91%,98.39
21-05-2026,210000.0,200771.7,2040.82,-9228.3,-4.39%,-10.88%,98.38
22-05-2026,210000.0,201530.07,2040.82,-8469.93,-4.03%,-9.94%,98.75
25-05-2026,210000.0,203683.13,2040.82,-6316.87,-3.01%,-7.32%,99.8
26-05-2026,220000.0,212892.42,2141.01,-7107.58,-3.23%,-8.16%,99.44
