date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,255000.0,257224.34,1110.91,2224.34,0.87%,0.52%,231.5434
16-04-2026,255000.0,259195.77,1110.91,4195.77,1.65%,0.97%,233.318
17-04-2026,255000.0,262412.19,1110.91,7412.19,2.91%,1.70%,236.21
20-04-2026,255000.0,261282.17,1110.91,6282.17,2.46%,1.44%,235.2
21-04-2026,255000.0,262686.03,1110.91,7686.03,3.01%,1.76%,236.46
22-04-2026,255000.0,265030.5,1110.91,10030.5,3.93%,2.29%,238.57
23-04-2026,255000.0,266350.37,1110.91,11350.37,4.45%,2.58%,239.76
24-04-2026,255000.0,264558.8,1110.91,9558.8,3.75%,2.17%,238.15
27-04-2026,255000.0,268009.41,1110.91,13009.41,5.10%,2.93%,241.25
28-04-2026,255000.0,269534.02,1110.91,14534.02,5.70%,3.27%,242.62
29-04-2026,255000.0,269223.97,1110.91,14223.97,5.58%,3.19%,242.34
30-04-2026,255000.0,267213.55,1110.91,12213.55,4.79%,2.74%,240.54
04-05-2026,255000.0,269691.11,1110.91,14691.11,5.76%,3.27%,242.77
05-05-2026,255000.0,269906.51,1110.91,14906.51,5.85%,3.31%,242.96
06-05-2026,255000.0,272604.25,1110.91,17604.25,6.90%,3.89%,245.39
07-05-2026,255000.0,272846.1,1110.91,17846.1,7.00%,3.94%,245.61
08-05-2026,255000.0,271751.4,1110.91,16751.4,6.57%,3.70%,244.62
11-05-2026,255000.0,269642.67,1110.91,14642.67,5.74%,3.22%,242.72
12-05-2026,255000.0,264566.8,1110.91,9566.8,3.75%,2.11%,238.15
13-05-2026,255000.0,266701.75,1110.91,11701.75,4.59%,2.58%,240.07
14-05-2026,255000.0,270541.95,1110.91,15541.95,6.09%,3.40%,243.53
15-05-2026,255000.0,268946.46,1110.91,13946.46,5.47%,3.05%,242.1
18-05-2026,255000.0,268020.3,1110.91,13020.3,5.11%,2.84%,241.26
