date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
15-04-2026,250101.0,268975.54,5644.2,18874.54,7.55%,15.07%,47.6552
16-04-2026,250101.0,270437.96,5644.2,20336.96,8.13%,16.17%,47.9143
17-04-2026,250101.0,273431.08,5644.2,23330.08,9.33%,18.38%,48.44
20-04-2026,250101.0,274549.76,5644.2,24448.76,9.78%,18.97%,48.64
21-04-2026,250101.0,276495.31,5644.2,26394.31,10.55%,20.39%,48.99
22-04-2026,250101.0,278134.95,5644.2,28033.95,11.21%,21.56%,49.28
23-04-2026,250101.0,275918.48,5644.2,25817.48,10.32%,19.72%,48.89
24-04-2026,250101.0,273863.99,5644.2,23762.99,9.50%,18.03%,48.52
27-04-2026,250101.0,278847.82,5644.2,28746.82,11.49%,21.54%,49.4
28-04-2026,250101.0,278811.13,5644.2,28710.13,11.48%,21.40%,49.4
29-04-2026,250101.0,278442.56,5644.2,28341.56,11.33%,21.01%,49.33
30-04-2026,250101.0,279930.37,5644.2,29829.37,11.93%,22.01%,49.6
04-05-2026,250101.0,281028.74,5644.2,30927.74,12.37%,22.37%,49.79
05-05-2026,250101.0,281090.26,5644.2,30989.26,12.39%,22.30%,49.8
06-05-2026,250101.0,283387.45,5644.2,33286.45,13.31%,23.86%,50.21
07-05-2026,250101.0,285553.69,5644.2,35452.69,14.18%,25.31%,50.59
08-05-2026,250101.0,284878.08,5644.2,34777.08,13.91%,24.70%,50.47
11-05-2026,250101.0,280639.85,5644.2,30538.85,12.21%,21.32%,49.72
12-05-2026,270101.0,294392.4,6055.58,24291.4,8.99%,16.82%,48.62
13-05-2026,270101.0,296696.55,6055.58,26595.55,9.85%,18.34%,49.0
14-05-2026,270101.0,299197.5,6055.58,29096.5,10.77%,19.98%,49.41
15-05-2026,270101.0,297387.49,6055.58,27286.49,10.10%,18.63%,49.11
18-05-2026,270101.0,295328.59,6055.58,25227.59,9.34%,16.95%,48.77
19-05-2026,270101.0,296751.05,6055.58,26650.05,9.87%,17.82%,49.0
20-05-2026,270101.0,299458.5,6055.58,29357.5,10.87%,19.56%,49.45
21-05-2026,270101.0,301327.25,6055.58,31226.25,11.56%,20.71%,49.76
22-05-2026,270101.0,301519.81,6055.58,31418.81,11.63%,20.74%,49.79
25-05-2026,270101.0,304153.38,6055.58,34052.38,12.61%,22.27%,50.23
26-05-2026,270101.0,305566.75,6055.58,35465.75,13.13%,22.98%,50.46
27-05-2026,270101.0,305365.1,6055.58,35264.1,13.06%,22.74%,50.43
29-05-2026,270101.0,304989.66,6055.58,34888.66,12.92%,22.27%,50.37
31-05-2026,270101.0,304989.66,6055.58,34888.66,12.92%,22.27%,50.37
01-06-2026,300101.0,334614.51,6651.93,34513.51,11.50%,21.70%,50.3
02-06-2026,300101.0,334586.57,6651.93,34485.57,11.49%,21.57%,50.3
03-06-2026,300101.0,334857.31,6651.93,34756.31,11.58%,21.63%,50.34
04-06-2026,300101.0,337715.64,6651.93,37614.64,12.53%,23.31%,50.77
05-06-2026,300101.0,336153.77,6651.93,36052.77,12.01%,22.21%,50.53
08-06-2026,300101.0,332856.41,6651.93,32755.41,10.91%,19.85%,50.04
09-06-2026,300101.0,335073.49,6651.93,34972.49,11.65%,21.10%,50.37
10-06-2026,300101.0,332202.52,6651.93,32101.52,10.70%,19.26%,49.94
11-06-2026,300101.0,332956.85,6651.93,32855.85,10.95%,19.61%,50.05
12-06-2026,300101.0,338566.42,6651.93,38465.42,12.82%,22.88%,50.9
15-06-2026,300101.0,340788.83,6651.93,40687.83,13.56%,23.86%,51.23
16-06-2026,300101.0,341750.03,6651.93,41649.03,13.88%,24.31%,51.38
17-06-2026,300101.0,343990.4,6651.93,43889.4,14.62%,25.50%,51.71
18-06-2026,300101.0,344889.08,6651.93,44788.08,14.92%,25.90%,51.85
19-06-2026,300101.0,345610.15,6651.93,45509.15,15.16%,26.33%,51.96
22-06-2026,300101.0,349780.9,6651.93,49679.9,16.55%,28.21%,52.58
23-06-2026,300101.0,345142.52,6651.93,45041.52,15.01%,25.43%,51.89
24-06-2026,300101.0,348469.14,6651.93,48368.14,16.12%,27.19%,52.39
25-06-2026,300101.0,348097.97,6651.93,47996.97,15.99%,26.85%,52.33
29-06-2026,300101.0,348674.69,6651.93,48573.69,16.19%,26.67%,52.42
30-06-2026,300101.0,351535.02,6651.93,51434.02,17.14%,28.12%,52.85
01-07-2026,300101.0,352080.47,6651.93,51979.47,17.32%,28.29%,52.93
02-07-2026,300101.0,355440.36,6651.93,55339.36,18.44%,30.00%,53.43
03-07-2026,300101.0,354539.69,6651.93,54438.69,18.14%,29.37%,53.3
06-07-2026,300101.0,354318.18,6651.93,54217.18,18.07%,28.85%,53.27
07-07-2026,300101.0,354533.04,6651.93,54432.04,18.14%,28.83%,53.3
08-07-2026,300101.0,351932.14,6651.93,51831.14,17.27%,27.32%,52.91
09-07-2026,300101.0,353894.46,6651.93,53793.46,17.93%,28.23%,53.2
10-07-2026,300101.0,355326.62,6651.93,55225.62,18.40%,28.86%,53.42
13-07-2026,300101.0,354632.82,6651.93,54531.82,18.17%,28.11%,53.31
14-07-2026,330101.0,384334.1,7214.62,54233.1,16.43%,27.81%,53.27
15-07-2026,330101.0,386626.19,7214.62,56525.19,17.12%,28.86%,53.59
16-07-2026,330101.0,384277.83,7214.62,54176.83,16.41%,27.52%,53.26
17-07-2026,330101.0,384417.79,7214.62,54316.79,16.45%,27.46%,53.28
